	1713
a	6444
a'th	2
a-bed	2
a-bleeding	1
a-brest	1
a-cursing	1
a-day	1
a-doing	1
a-doting	1
a-down	1
a-down-a	1
a-feard	1
a-float	1
a-foot	3
a-growing	1
a-hanging	1
a-height	1
a-high	1
a-hold	2
a-hungry	1
a-lighted	1
a-making	1
a-night	1
a-nights	2
a-part	2
a-piece	1
a-shore	1
a-sleep	1
a-weary	2
a-while	5
a-wooing	1
a-work	1
abandon	3
abandon'd	3
abandoned	1
abase	1
abate	11
abated	1
abatement	2
abatements	1
abates	1
abbaisse	1
abbey	1
abed	2
abhor	3
abhorr'd	1
abhorre	4
abhorred	5
abhorr’d	1
abhors	3
abide	21
abides	3
abiect	1
abilities	2
ability	4
abiure	2
abject	1
abjects	1
abjur'd	1
abjure	2
abjured	1
able	12
abler	1
aboard	6
abode	5
abominable	3
abominably	1
aboord	4
abortive	2
aboue	15
abound	3
abound'st	1
abounding	1
about	219
above	44
abr	5
abraham's	1
abram	4
abridg'd	2
abridgement	2
abridgment	1
abroach	2
abroad	26
abruptly	1
absence	19
absent	15
absolute	10
absolv'd	1
abstemious	2
abstenious	1
abstinence	1
abstract	1
abstracts	1
absurd	2
abundance	6
abundant	1
abus'd	21
abusde	1
abuse	18
abused	6
abuser	1
abuses	7
abusing	1
abutting	1
abysm	2
accent	10
accented	1
accents	4
accept	16
acceptable	1
acceptance	5
accepted	11
accepting	5
accepts	1
access	59
accessary	2
accesse	2
accessed	5
accessible	5
accident	13
accidental	1
accidentall	1
accidents	8
accommodate	1
accomodation	1
accompanied	1
accompany	3
accomplished	3
accomplishing	1
accomplishment	1
accompt	3
accomptant	1
accord	7
accordance	12
accordant	1
according	23
accordingly	2
accost	6
accosted	1
account	18
account'st	1
accounted	3
accoutered	1
accoutred	1
accoutrements	2
accrue	1
accumulate	2
accurs'd	4
accursed	5
accurst	2
accus'd	7
accusation	4
accusde	1
accuse	9
accused	1
accuser's	1
accusers	2
accuseth	1
accusing	2
accust	1
accustom'd	4
accustomed	1
ace	2
ache	5
acheron	2
aches	2
achiev'd	1
achieve	8
achievements	1
aching	1
acknowledg'd	1
acknowledge	8
acknowledged	1
acknowledgement	1
acknowne	1
acold	5
acorn	2
acorne	2
acquaint	12
acquaintance	21
acquainted	12
acquaints	1
acquire	2
acquisition	1
acquit	5
acquittance	2
acquitted	2
acre	2
acres	3
across	2
acrosse	1
act	87
acte	7
acted	4
acting	5
action	41
action-taking	1
action.--soft	1
actions	9
actiue	2
actiuitie	1
active	11
actively	1
actor	6
actors	10
acts	6
actual	5
actuall	2
actus	35
ad	3
adam	30
adam's	1
adamant	1
adams	1
add	8
addage	1
adde	8
added	10
adder	6
adder's	1
adders	4
addeth	1
addicted	2
addiction	1
adding	2
addition	24
additional	20
additions	6
addle	1
address	8
address'd	1
addresse	1
addresses	5
addrest	5
adds	3
adew	2
adhere	1
adheres	2
adieu	39
adiew	2
adjacent	1
adjoin'd	1
adjunct	2
admir'd	1
admirable	6
admiral	1
admirall	1
admiration	7
admire	5
admired	4
admiring	2
admit	14
admittance	2
admitted	3
admonishing	1
ado	4
adoe	2
adonis	2
adopt	1
adopted	2
adoption	1
adoration	1
adorations	1
adore	6
adored	1
adores	1
adoreth	1
adorn	1
adr	9
adrian	6
adriatic	1
aduance	6
aduantage	13
aduantageable	1
aduantages	5
adue	4
aduentures	1
aduenturing	1
aduenturously	1
aduersary	1
aduerse	1
aduersities	1
aduertisement	1
aduice	4
aduis'd	6
aduise	6
aduised	2
aduisedlie	1
adulation	1
adulterate	3
adulterers	1
adultery	3
adultress	1
aduocation	1
advanc'd	4
advance	7
advanced	4
advancement	6
advances	1
advancing	4
advantage	11
advantageous	1
advantages	1
advantaging	1
adventure	6
adventures	1
adventurous	1
adversaries	6
adversary	3
adversary's	1
adverse	4
adversity	1
adversity's	1
advertised	1
advice	8
advis'd	5
advise	14
advises	1
advocate	3
aeacides	1
aegyptian	1
